curricula,problem_set_name,question_id,academic_year,number_of_students,incorrect_count,percent_correct,correct_answer,first_common_wrong_answer,second_common_wrong_answer,third_common_wrong_answer,first_common_wrong_answer_count,second_common_wrong_answer_count,third_common_wrong_answer_count
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 1 (6.RP.1, 6.RP.3.a)",1197491,18_19,101,76.0,25.74,3:1,"""9:12""","""3:4""","""6:2""",9.0,9.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 1 (6.RP.1, 6.RP.3.a)",1197491,19_20,259,161.0,38.22,3:1,"""3:4""","""9:3""","""3:9""",21.0,13.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 13 (6.RP.3.a),1573929,18_19,143,71.0,51.04,4:1,"""1/4""","""1.4""","""4.1""",35.0,13.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 13 (6.RP.3.a),1573929,19_20,85,40.0,54.11,4:1,"""1/4""","""5/20""","""1.4""",18.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 16 (6.RP.2),1215949,18_19,216,110.0,49.53,42.5,"""425""","""42""","""40""",11.0,9.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 16 (6.RP.2),1215949,19_20,106,58.0,46.22,42.5,"""42""","""68000""","""425""",7.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 19 (6.RP.2, 6.RP.3.b)",1215958,18_19,177,88.0,50.84,5,"""4""","""1/5""","""10""",15.0,13.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 19 (6.RP.2, 6.RP.3.b)",1215958,19_20,100,61.0,39.0,5,"""4""","""1""","""1/5""",9.0,6.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 19 (6.RP.2, 6.RP.3.b)",1424194,18_19,188,76.0,60.1,4,"""20""","""5""","""10""",20.0,13.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 19 (6.RP.2, 6.RP.3.b)",1424194,19_20,106,55.0,49.05,4,"""20""","""5""","""6""",12.0,11.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 19 (6.RP.2, 6.RP.3.b)",1424195,18_19,190,47.0,75.78,6,"""3""","""2""","""12""",13.0,10.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 19 (6.RP.2, 6.RP.3.b)",1424195,19_20,100,27.0,73.0,6,"""3""","""12""","""2""",7.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216128,16_17,106,58.0,46.22,3/10,"""3/100 and 3%""","""3/10 and 3%""","""30/100 and 3%""",32.0,19.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216128,18_19,316,59.0,81.64,3/10,"""3/100""","""1/3""","""0/3""",16.0,11.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216128,19_20,65,26.0,61.53,"3/10 , 30/100","""3/100""","""1/3""","""3""",13.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458997,17_18,127,47.0,63.77,30,"""3""","""30%""","""3%""",21.0,10.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458997,18_19,317,91.0,71.6,30,"""3""","""30%""","""3%""",29.0,26.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458997,19_20,66,36.0,46.96,30,"""3""","""30%""","""3/10""",17.0,7.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216129,16_17,106,44.0,59.43,9/100,"""9/100 and .9""","""90/100 and .09""","""90/100 and .9""",26.0,9.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216129,17_18,123,35.0,72.35,9/100,"""9/10""","""0.9""","""90""",26.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216129,18_19,301,90.0,70.43,9/100,"""9/10""","""0.9""","""1/9""",62.0,7.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216129,19_20,60,39.0,36.66,9/100,"""9/10""","""90/100""","""9/1""",25.0,7.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458998,17_18,116,33.0,72.41,0.09,"""0.9""",""".9""",""".90""",13.0,12.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458998,18_19,299,64.0,78.92,0.09,"""0.9""",""".9""",""".90""",40.0,8.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458998,19_20,57,26.0,56.14,0.09,"""0.9""","""9""",""".90""",7.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216130,16_17,106,65.0,39.62,".375 , 0.375",""".38 and 38%""","""3.8 and 3%""",""".375 and 3.75%""",31.0,26.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216130,17_18,103,41.0,61.16,".375 , 0.375","""3.8""","""0.3""",""".3""",6.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216130,18_19,248,114.0,54.43,".375 , 0.375","""3.8""","""37.5""","""0.38""",21.0,21.0,9.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1216130,19_20,70,37.0,48.57,0.375,"""3.8""",""".38""","""0.38""",6.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458999,17_18,102,61.0,41.17,37.5,"""375""","""38""","""37""",27.0,8.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458999,18_19,238,88.0,63.44,37.5,"""375""","""38""","""37""",21.0,14.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 25 (6.RP.3.c),1458999,19_20,68,39.0,44.11,37.5,"""375""","""0.375""","""37""",7.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 26 (6.RP.3.c),1216136,18_19,251,57.0,77.68,24,"""20""","""150""","""24%""",13.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 26 (6.RP.3.c),1216136,19_20,78,29.0,64.1,24,"""150""","""20""","""24%""",6.0,5.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 26 (6.RP.3.c),1459000,18_19,189,97.0,49.2,200,"""4.5""","""2""","""15""",40.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 26 (6.RP.3.c),1459000,19_20,57,35.0,40.35,200,"""4.5""","""15""","""4.50""",15.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 28 (6.RP.3.c),1216145,17_18,68,34.0,51.47,200,"""192""","""32""","""128""",6.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.1 Lesson 28 (6.RP.3.c),1216145,18_19,175,103.0,41.71,200,"""800""","""192""","""32""",41.0,14.0,8.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 3 (6.RP.1, 6.RP.3.a)",1573461,18_19,59,32.0,47.45,"40:100 , 4:10 , 2:5","""6:8""","""4:10""","""3:4""",6.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 3 (6.RP.1, 6.RP.3.a)",1573461,19_20,62,44.0,30.64,"40:100 , 4:10 , 2:5","""2:5""","""3:4""","""4:3""",9.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 5 (6.RP.1, 6.RP.3.a)",1214854,15_16,63,31.0,52.38,115,"""23""","""115""","""2""",14.0,13.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 5 (6.RP.1, 6.RP.3.a)",1214854,16_17,66,43.0,36.36,115,"""115""","""23""","""2""",21.0,13.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 5 (6.RP.1, 6.RP.3.a)",1214854,18_19,135,64.0,53.33,115,"""23""","""46/115""","""138""",14.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.1 Lesson 5 (6.RP.1, 6.RP.3.a)",1214854,19_20,79,48.0,40.5,115,"""80""","""5""","""23""",7.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.2 Lesson 11 (6.NS.3),1216769,18_19,72,65.0,11.11,366.89,"""366.8875""","""367""","""366.9""",37.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.2 Lesson 11 (6.NS.3),1216769,19_20,30,21.0,30.0,366.89,"""366.8875""","""356.8875""","""36054.880""",8.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 11 (6.NS.7.c),1222301,16_17,58,32.0,46.55,"-3,500","""3500""","""3,500""","""5""",9.0,5.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 11 (6.NS.7.c),1222301,17_18,38,26.0,34.21,"-3,500","""3500""","""3,500""","""2000""",16.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 11 (6.NS.7.c),1222301,19_20,29,17.0,44.82,"-3,500","""3500""","""3,500""","""-2,000""",9.0,6.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 12 (6.NS.7.d),1222341,18_19,65,25.0,63.07,"-15 , -8 8/9 , -3.3","""-3.3 , -8 8/9 , -15""","""-3.3 , -15 , -8 8/9""","""-15 , -3.3 , -8 8/9""",18.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 12 (6.NS.7.d),1222341,19_20,110,37.0,67.27,"-15 , -8 8/9 , -3.3","""-3.3 , -8 8/9 , -15""","""-15 , -3.3 , -8 8/9""","""-8 8/9 , -15 , -3.3""",18.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 12 (6.NS.7.d),1428085,18_19,69,15.0,79.71,"3.3 , 8 8/9 , 15","""15 , 8 8/9 , 3""","""3 , 15 , 8 8/9""","""8 8/9 , 15 , 3""",9.0,4.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 12 (6.NS.7.d),1428085,19_20,110,30.0,73.63,"3.3 , 8 8/9 , 15","""15 , 8 8/9 , 3.3""","""3.3 , 15 , 8 8/9""","""8 8/9 , 3.3 , 15""",16.0,4.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 6 (6.NS.6.c),1218113,16_17,40,25.0,37.5,1/12,"""8/12""","""1/10""",""".1""",19.0,3.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 6 (6.NS.6.c),1218113,17_18,106,57.0,47.16,1/12,"""12""","""8""","""8/12""",17.0,7.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.3 Lesson 6 (6.NS.6.c),1218113,19_20,114,74.0,35.96,1/12,"""8/12""","""8""","""12""",14.0,13.0,9.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 11 (6.EE.2.c, 6.EE.3)",1225931,16_17,67,44.0,35.82,2(x + 4y),"""10xy""","""1x+4y""","""(x+4y)""",10.0,6.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 11 (6.EE.2.c, 6.EE.3)",1225931,19_20,75,39.0,49.33,2(x + 4y),"""10xy""","""16xy""","""2 x X + 8 x Y""",14.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 16 (6.EE.2.a, 6.EE.2.b)",1226156,18_19,186,100.0,46.77,(s + j)/8,"""s+j/8""","""s+j-8""","""s+f/8""",45.0,12.0,11.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 16 (6.EE.2.a, 6.EE.2.b)",1226156,19_20,63,33.0,49.2,(s + j)/8,"""s+j/8""","""(s+j)+8""","""(s + j) -8""",20.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 16 (6.EE.2.a, 6.EE.2.b)",1226157,16_17,65,65.0,1.53,"e/d - 15 , (e/d) - 15","""15-(e/d)""","""(e/d)-15""","""15-e/d""",12.0,9.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 16 (6.EE.2.a, 6.EE.2.b)",1226157,18_19,194,118.0,39.69,"e/d - 15 , (e/d) - 15","""15-(e/d)""","""15-(e+d)""","""15-e/d""",27.0,16.0,14.0
